,Assets
March 2011,
June 2011,24534022000.0
September 2011,25575208000.0
December 2011,26216925000.0
March 2012,32417465000.0
June 2012,31986583000.0
September 2012,31977977000.0
December 2012,32586606000.0
March 2013,31886123000.0
June 2013,32015137000.0
September 2013,32111409000.0
December 2013,33324574000.0
March 2014,32755599000.0
June 2014,30586414000.0
September 2014,29672165000.0
December 2014,29532330000.0
March 2015,30275527000.0
June 2015,30083531000.0
September 2015,30641303000.0
December 2015,30650673000.0
