,NetIncomeLoss,Assets
March 2009,-62560500.0,
June 2009,-62560500.0,
September 2009,-62560500.0,
December 2009,-62560500.0,
March 2010,5135000.0,
June 2010,6800000.0,
September 2010,41269000.0,
December 2010,-104944000.0,3716524000.0
March 2011,37833000.0,3646767000.0
June 2011,-4311000.0,3624834000.0
September 2011,-21217000.0,3628403000.0
December 2011,-10196000.0,3589726000.0
March 2012,-21218000.0,3566167000.0
June 2012,-4814000.0,3524679000.0
September 2012,-15147000.0,3485032000.0
December 2012,-12601000.0,3464729000.0
March 2013,-14686000.0,3471690000.0
June 2013,7106000.0,3592158000.0
September 2013,-16335000.0,3629356000.0
December 2013,-17368000.0,2677002000.0
March 2014,-2388000.0,2619375000.0
June 2014,-1586000.0,2700053000.0
September 2014,-13495000.0,2863708000.0
December 2014,-13932000.0,2781080000.0
March 2015,321496000.0,4768956000.0
June 2015,-12244000.0,4980801000.0
September 2015,-16321000.0,4883600000.0
December 2015,-21992000.0,4965131000.0
March 2016,-9989000.0,4988082000.0
June 2016,30753000.0,4900965000.0
September 2016,-20145000.0,4839744000.0
December 2016,-46904000.0,4891544000.0
March 2017,-25413000.0,4822618000.0
June 2017,10184000.0,4780815000.0
September 2017,-21808000.0,4746661000.0
December 2017,-29971000.0,4669850000.0
March 2018,-26271000.0,4637469000.0
June 2018,-18306000.0,4831647000.0
September 2018,-27589000.0,4733340000.0
December 2018,-54800000.0,4685954000.0
March 2019,-38017000.0,4905150000.0
June 2019,-16282000.0,4869997000.0
September 2019,-31177000.0,4769051000.0
December 2019,-28159000.0,4691348000.0
March 2020,-84201000.0,4566122000.0
June 2020,-204616000.0,4344535000.0
September 2020,-129281000.0,3844276000.0
December 2020,-125778000.0,3734383000.0
March 2021,-103038000.0,3816830000.0
June 2021,-64292000.0,4058020000.0
September 2021,-43692000.0,4189169000.0
December 2021,-55983000.0,4098143000.0
March 2022,-55430000.0,4038194000.0
June 2022,-6170000.0,4030166000.0
