,NetIncomeLoss,Assets,AssetsCurrent
June 2010,-1722808.0,,
September 2010,-1637187.0,,
December 2010,-1484096.0,,
March 2011,-1463191.0,31105646.0,17778192.0
June 2011,-1767011.0,,
September 2011,-920671.0,31440611.0,18167192.0
December 2011,-1234262.0,32171350.0,19054022.0
March 2012,-1310381.0,31354777.0,18392463.0
June 2012,-829501.0,31717831.0,18958028.0
September 2012,-901296.0,32432346.0,19805685.0
December 2012,-602223.0,32517793.0,20022052.0
March 2013,-3115737.0,33117095.0,22483703.0
June 2013,-1292833.0,33492139.0,23014542.0
September 2013,-4426535.0,33474873.0,23189091.0
December 2013,-2370473.0,36521510.0,24997286.0
March 2014,-816906.0,36521510.0,26581241.0
June 2014,-1495831.0,39615004.0,29857585.0
September 2014,-1080513.0,40954177.0,31120836.0
December 2014,-590996.0,42960196.0,33226153.0
March 2015,-632402.0,44038940.0,34479390.0
June 2015,-1123662.0,43391421.0,33459026.0
September 2015,-1011271.0,46767539.0,36922979.0
December 2015,-807703.0,49034288.0,39367508.0
March 2016,426268.0,50274413.0,40689501.0
June 2016,-765819.0,54342144.0,41634066.0
September 2016,-700710.0,51369779.0,42284570.0
December 2016,422566.0,53785847.0,44793412.0
