,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2011,2648515.0,,806587.5,518689.5,,,
June 2011,2648515.0,,806587.5,518689.5,,,
September 2011,1800502.0,,1324952.0,-2463230.0,,,
December 2011,,,,,619440.0,538856.0,80584.0
March 2012,3483231.5,,978933.0,-730660.0,,,
June 2012,3483231.5,,978933.0,-730660.0,,,
September 2012,1216921.0,,794688.0,3074634.0,959772.0,691022.0,268750.0
December 2012,1571418.0,,,623003.0,838175.0,780342.0,
March 2013,1166972.0,,,-288746.0,,,
June 2013,3978609.0,,,2475029.0,,,
September 2013,1448677.0,,,-115799.0,,,
December 2013,1577385.0,,,-876433.0,1596248.0,1536170.0,
March 2014,1775280.0,0.0,,-20973.0,5279705.0,5104764.0,
June 2014,6752626.0,93750.0,,-1146834.0,1418294.0,1336012.0,
September 2014,692822.0,46800.0,,-450890.0,349494.0,269753.0,
December 2014,181089.0,,,350514.0,122978.0,36286.0,
March 2015,159869.0,,,-217519.0,100258.0,15423.0,
June 2015,271364.0,,,83176.0,169085.0,86107.0,
September 2015,256736.0,,,147920.0,154970.0,71992.0,
December 2015,416701.0,,,-14554.0,321516.0,238538.0,
March 2016,,,,,,,
June 2016,,,,,,,
September 2016,,,,,,,
December 2016,,,,,,,
March 2017,,,,,,,
June 2017,,,,,,,
September 2017,,,,,,,
December 2017,,,,,,,
March 2018,,,,,,,
June 2018,,,,,,,
September 2018,,,,,,,
December 2018,,,,,,,
March 2019,511509.0,,,565383.0,,,
June 2019,789743.0,,,481066.0,,,
September 2019,301677.0,,,147050.0,,,
December 2019,310442.0,,,327064.0,903390.0,822265.0,
March 2020,210038.0,,,-74538.0,635764.0,623067.0,
June 2020,167715.0,,,-18004.0,616745.0,604977.0,
September 2020,154036.0,,,20139.0,585385.0,424545.0,
December 2020,200910.0,,,115377.0,610309.0,600398.0,
March 2021,202562.0,,,123224.0,710034.0,701052.0,
June 2021,445951.0,,,361333.0,1088867.0,1080813.0,
September 2021,592465.0,,,389980.0,1544485.0,1537359.0,
December 2021,591168.0,,,-85167.0,1792275.0,1786078.0,
March 2022,458839.0,,,-22644.0,1763028.0,1757759.0,
June 2022,637241.0,,,6676.0,1716437.0,1712097.0,
