,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
December 2007,16442.777777777777,16442.777777777777,-29376.0,
March 2008,16442.777777777777,16442.777777777777,-12993.5,
June 2008,16442.777777777777,16442.777777777777,-12993.5,
September 2008,16442.777777777777,16442.777777777777,-12993.5,
December 2008,16442.777777777777,16442.777777777777,-12993.5,
March 2009,16442.777777777777,16442.777777777777,-13547.5,
June 2009,16442.777777777777,16442.777777777777,-13547.5,
September 2009,16442.777777777777,16442.777777777777,-13547.5,
December 2009,16442.777777777777,16442.777777777777,-13547.5,
March 2010,9385.0,9385.0,-9026.0,
June 2010,8271.0,8271.0,-8033.0,
September 2010,9707.0,9707.0,-9525.0,
December 2010,22809.0,22809.0,-22596.0,196718.0
March 2011,15839.0,15839.0,-15833.0,
June 2011,10174.0,10174.0,-10169.0,162193.0
September 2011,13756.0,13756.0,-13755.0,149138.0
December 2011,18489.0,18489.0,-18489.0,137249.0
March 2012,10460.0,10460.0,-10460.0,
June 2012,13236.0,13236.0,-13236.0,108470.0
September 2012,10266.0,10266.0,-10266.0,98304.0
December 2012,19947.0,19947.0,-19946.0,87358.0
March 2013,16042.0,16042.0,-16042.0,65916.0
June 2013,8629.0,8629.0,-8629.0,55287.0
September 2013,9020.0,9020.0,-9020.0,43777.0
December 2013,22548.0,22548.0,-22548.0,34169.0
March 2014,8415.0,8415.0,-8415.0,16353.0
June 2014,10396.0,10396.0,-10396.0,7707.0
September 2014,6667.0,6667.0,-6666.0,1742.0
December 2014,16044.0,16044.0,-18483.0,15796.0
March 2015,12257.0,12257.0,-14156.0,21390.0
June 2015,8185.0,8185.0,-11827.0,6579.0
September 2015,9600.0,9600.0,-13466.0,31159.0
December 2015,26882.0,26882.0,-28541.0,12743.0
March 2016,9476.0,9476.0,-12983.0,14696.0
June 2016,24311.0,24311.0,-26923.0,12196.0
September 2016,9614.0,9614.0,-14469.0,9610.0
