,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2011,,0.0,
June 2011,,0.0,
September 2011,,0.0,
December 2011,,0.0,
March 2012,2429000.0,0.0,
June 2012,2624000.0,0.0,
September 2012,3354000.0,0.0,
December 2012,4571000.0,0.0,137534000.0
March 2013,4612000.0,0.0,
June 2013,7425000.0,0.0,100.0
September 2013,6019000.0,-15000.0,276604000.0
December 2013,7959000.0,-1926000.0,267320000.0
March 2014,8827000.0,-2496000.0,269378000.0
June 2014,10674000.0,179000.0,289945000.0
September 2014,10223000.0,-666000.0,308545000.0
December 2014,11430000.0,-2010000.0,377451000.0
March 2015,11516000.0,-1840000.0,377620000.0
June 2015,10810000.0,-668000.0,401554000.0
September 2015,10231000.0,1639000.0,421220000.0
December 2015,13264000.0,3240000.0,416221000.0
March 2016,4076000.0,96000.0,414155000.0
June 2016,4667000.0,706000.0,420479000.0
September 2016,13668000.0,1285000.0,422192000.0
December 2016,15722000.0,7151000.0,434106000.0
March 2017,5149000.0,1146000.0,442118000.0
June 2017,6219000.0,1624000.0,444110000.0
