,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2010,2976000.0,,
June 2010,2513000.0,,
September 2010,2385000.0,,
December 2010,3111000.0,50344000.0,4263000.0
March 2011,2766000.0,,
June 2011,2803000.0,56088000.0,4591000.0
September 2011,3150000.0,52726000.0,5178000.0
December 2011,2932000.0,50471000.0,7952000.0
March 2012,2571000.0,53975000.0,8022000.0
June 2012,2424000.0,47106000.0,7415000.0
September 2012,3122000.0,50523000.0,8822000.0
December 2012,2844000.0,51030000.0,8128000.0
March 2013,2775000.0,47555000.0,6883000.0
June 2013,3144000.0,47416000.0,5387000.0
September 2013,2587000.0,49147000.0,5033000.0
December 2013,3126000.0,47623000.0,6848000.0
March 2014,3015000.0,48123000.0,7285000.0
June 2014,3058000.0,47066000.0,6847000.0
September 2014,3021000.0,49720000.0,5289000.0
December 2014,3024000.0,49487000.0,7353000.0
March 2015,3339000.0,44542000.0,7255000.0
June 2015,3328000.0,51850000.0,7522000.0
September 2015,3004000.0,53509000.0,9322000.0
December 2015,3796000.0,55239000.0,11592000.0
March 2016,3494000.0,59085000.0,13524000.0
June 2016,2972000.0,58671000.0,14419000.0
September 2016,3029000.0,61269000.0,16829000.0
December 2016,3740000.0,66104000.0,18163000.0
March 2017,3935000.0,71162000.0,13757000.0
June 2017,3666000.0,80544000.0,13382000.0
September 2017,3627000.0,82246000.0,11725000.0
December 2017,4038000.0,84726000.0,11809000.0
March 2018,,,
June 2018,,,
September 2018,,,
December 2018,,,
March 2019,,,
June 2019,,,
September 2019,3627000.0,,
