,NetIncomeLoss,Assets,AssetsCurrent
March 2002,-92339.88888888889,,
June 2002,-92339.88888888889,,
September 2002,-92339.88888888889,,
December 2002,-92339.88888888889,,
March 2003,-92339.88888888889,,
June 2003,-92339.88888888889,,
September 2003,-92339.88888888889,,
December 2003,-92339.88888888889,,
March 2004,-92339.88888888889,,
June 2004,41386.75,,
September 2004,41386.75,,
December 2004,41386.75,,
March 2005,41386.75,,
June 2005,41386.75,,
September 2005,41386.75,,
December 2005,41386.75,,
March 2006,41386.75,,
June 2006,41386.75,,
September 2006,41386.75,,
December 2006,41386.75,,
March 2007,41386.75,,
June 2007,41386.75,,
September 2007,41386.75,,
December 2007,41386.75,,
March 2008,41386.75,,
June 2008,-9856.0,,
September 2008,-9856.0,,
December 2008,-9856.0,,
March 2009,-9856.0,,
June 2009,-121841.25,,
September 2009,-121841.25,,
December 2009,-121841.25,,
March 2010,-121841.25,,
June 2010,-42203.5,,
September 2010,-42203.5,,
December 2010,-1260.0,,
March 2011,-19121.0,,
June 2011,0.0,,
September 2011,-1452.0,,
December 2011,-3794.0,,
March 2012,-1164.0,,
June 2012,-6675.0,,
September 2012,42022.0,,
December 2012,-5000.0,,
March 2013,-53181.0,,
June 2013,0.0,,
September 2013,-1267.0,,
December 2013,0.0,,
March 2014,-100.0,,
June 2014,0.0,,
September 2014,-1400.0,,
December 2014,2883.0,,
March 2015,165911.0,,
June 2015,-8524.0,,
September 2015,-4106.0,,
December 2015,-450.0,,
March 2016,,,
June 2016,-450.0,,
September 2016,-275.0,,
