,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2009,,3859.5,127877.5,-1876690.5,,,
March 2010,,3859.5,127877.5,-1876690.5,,,
June 2010,,73564.0,495709.0,-4586264.0,,,
September 2010,,1651.0,311262.0,3756662.0,19720507.0,1346541.0,1343824.0
December 2010,,74.0,170983.0,2479450.0,,,
March 2011,,74.0,159149.0,409998.0,,,
June 2011,,74.0,264861.0,102794.0,23363015.0,1559611.0,1139926.0
September 2011,,74.0,411242.0,446623.0,22980368.0,284264.0,1028475.0
December 2011,491966.0,78674.0,413292.0,-216009.0,23054004.0,261375.0,1034763.0
March 2012,387934.0,17508.0,370426.0,-926850.0,24972868.0,357917.0,1029784.0
June 2012,548673.0,320000.0,228673.0,-12463.0,,,
September 2012,1071053.0,48716.0,1022337.0,-931071.0,27057450.0,418637.0,1018256.0
December 2012,760220.0,0.0,760220.0,-445684.0,28523362.0,2370427.0,1014731.0
March 2013,435622.0,15917.0,419705.0,-894719.0,27881688.0,1841313.0,1016307.0
June 2013,560171.0,8372.0,551799.0,-1029283.0,27358405.0,1261480.0,1024898.0
September 2013,3090707.0,31409.0,-363054.0,-4802408.0,25127319.0,1326591.0,1013848.0
December 2013,261151.0,16483.0,244668.0,-1243586.0,25403609.0,1662686.0,1013326.0
March 2014,395605.0,81664.0,313941.0,-1666948.0,24669634.0,1397214.0,997955.0
June 2014,276898.0,-240.0,276898.0,-1529920.0,26089520.0,3132952.0,992478.0
September 2014,339737.0,-20.0,339997.0,-1926910.0,22947688.0,1415608.0,986449.0
December 2014,264483.0,,264483.0,-1419692.0,22490394.0,1267930.0,982077.0
March 2015,279864.0,,279864.0,-1937855.0,21897579.0,1007507.0,976546.0
June 2015,224794.0,,224794.0,-1520762.0,21601868.0,1022266.0,970403.0
