,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2011,,-383.0,,,
September 2011,,-555.0,,,
December 2011,,30.0,,,
March 2012,,-6220.0,,,
June 2012,,-15786.0,,,
September 2012,,-17004.0,,,
December 2012,,4564.0,,,
March 2013,,-21763.0,,,
June 2013,10560.0,-10252.0,,,
September 2013,10560.0,-15886.0,,,
December 2013,10560.0,7772.0,,,
March 2014,10560.0,-10874.0,,,
June 2014,5474.0,-5474.0,,,
September 2014,18759.0,-20674.0,,,
December 2014,20872.0,-18759.0,,,
March 2015,40410.0,-56611.0,,,
June 2015,46808.0,-50378.0,,,
September 2015,57253.0,-53934.0,,,
December 2015,70971.0,-81655.0,,,
March 2016,72147.0,-80178.0,,,
June 2016,317430.0,-327684.0,,,
September 2016,2151.0,-12476.0,,,
December 2016,2270149.0,43168.0,545961.0,118091.0,394525.0
March 2017,648348.0,-19674.0,3851.0,353.0,
June 2017,851004.0,-123968.0,,,
September 2017,792899.0,-111139.0,,,
December 2017,808966.0,-382613.0,458054.0,69889.0,408325.0
March 2018,953738.0,-586295.0,457103.0,90529.0,408325.0
June 2018,999265.0,-938984.0,448390.0,69218.0,443119.0
September 2018,962823.0,-486470.0,479603.0,78244.0,481416.0
December 2018,1043997.0,255201.0,460306.0,94988.0,484842.0
March 2019,1183822.0,-1122481.0,1777410.0,218472.0,484842.0
June 2019,1470842.0,-3717120.0,2745772.0,411221.0,797481.0
September 2019,1429019.0,-1072744.0,2477140.0,214207.0,801208.0
December 2019,1286176.0,619032.0,2295662.0,140438.0,801208.0
March 2020,1102243.0,1101432.0,2196578.0,150858.0,801208.0
June 2020,,,,,
