,OperatingExpenses,NetIncomeLoss,AssetsCurrent
December 2006,717.4375,-717.4375,
March 2007,717.4375,-717.4375,
June 2007,717.4375,-717.4375,
September 2007,717.4375,-717.4375,
December 2007,717.4375,-717.4375,
March 2008,717.4375,-717.4375,
June 2008,717.4375,-717.4375,
September 2008,717.4375,-717.4375,
December 2008,717.4375,-717.4375,
March 2009,717.4375,-717.4375,
June 2009,717.4375,-717.4375,
September 2009,717.4375,-717.4375,
December 2009,717.4375,-717.4375,
March 2010,717.4375,-717.4375,
June 2010,717.4375,-717.4375,
September 2010,0.0,0.0,
December 2010,2775.0,-2775.0,
March 2011,218.0,-218.0,
June 2011,717.4375,-717.4375,0.0
September 2011,109.0,-109.0,0.0
December 2011,2364.0,-2364.0,0.0
March 2012,315.0,-315.0,0.0
