,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,5411629.75,,
June 2009,5411629.75,,
September 2009,5411629.75,,
December 2009,5411629.75,,
March 2010,5518462.0,,
June 2010,5555471.0,,
September 2010,5236944.0,,
December 2010,6062726.0,101537454.0,68443939.0
March 2011,6997964.0,,
June 2011,6909473.0,118792462.0,85607505.0
September 2011,6720752.0,104131843.0,69245363.0
December 2011,7025316.0,104723362.0,69509587.0
March 2012,8548390.0,115722278.0,78863842.0
June 2012,8112242.0,119270983.0,81800486.0
September 2012,7570491.0,108706670.0,70653175.0
December 2012,7987938.0,105088083.0,61007286.0
March 2013,7804930.0,116625582.0,71747864.0
June 2013,8759419.0,114990442.0,68771871.0
September 2013,8354912.0,115643334.0,69613773.0
December 2013,6779693.0,113530851.0,65923357.0
March 2014,7519990.0,110573787.0,62896208.0
June 2014,8301473.0,112340126.0,64914748.0
September 2014,7783492.0,114031765.0,66875803.0
December 2014,7739249.0,109819651.0,61979382.0
March 2015,8420650.0,127794084.0,79943694.0
June 2015,9280504.0,116593021.0,67923794.0
September 2015,8693633.0,120464223.0,72627373.0
December 2015,8911864.0,121119898.0,74933534.0
March 2016,9414951.0,125394988.0,79071843.0
June 2016,9957880.0,133079779.0,86714148.0
September 2016,9509950.0,136150440.0,89538554.0
December 2016,9659858.0,133969284.0,88221351.0
March 2017,10051472.0,136318575.0,90794629.0
June 2017,10075201.0,139530467.0,98049045.0
