,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2004,536619.0476190476,-300000.0,,,
March 2005,536619.0476190476,-208500.0,,,
June 2005,536619.0476190476,-208500.0,,,
September 2005,536619.0476190476,-208500.0,,,
December 2005,536619.0476190476,-208500.0,,,
March 2006,536619.0476190476,-579000.0,,,
June 2006,536619.0476190476,-579000.0,,,
September 2006,536619.0476190476,-579000.0,,,
December 2006,536619.0476190476,-579000.0,,,
March 2007,536619.0476190476,-984000.0,,,
June 2007,536619.0476190476,-984000.0,,,
September 2007,536619.0476190476,-984000.0,,,
December 2007,536619.0476190476,-984000.0,,,
March 2008,536619.0476190476,-735500.0,,,
June 2008,536619.0476190476,-735500.0,,,
September 2008,536619.0476190476,-735500.0,,,
December 2008,536619.0476190476,-735500.0,,,
March 2009,536619.0476190476,-1700750.0,,,
June 2009,536619.0476190476,-1700750.0,,,
September 2009,536619.0476190476,-1700750.0,,,
December 2009,536619.0476190476,-1700750.0,,,
March 2010,505500.0,-137500.0,,,
June 2010,505500.0,-137500.0,,,
September 2010,374000.0,-1570000.0,,,
December 2010,822000.0,-331000.0,6112000.0,5703000.0,321000.0
March 2011,690000.0,-1778000.0,,,
June 2011,963000.0,-1115000.0,,,
September 2011,991000.0,-1120000.0,2871000.0,2182000.0,614000.0
December 2011,1285000.0,-2002000.0,1404000.0,808000.0,530000.0
March 2012,923000.0,-2391000.0,2995000.0,2626000.0,308000.0
