,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2017,,-10706.5,,,
June 2017,,-10706.5,,,
September 2017,,-144995.0,443676.0,414176.0,29500.0
December 2017,,-167441.0,,,
March 2018,,-85467.0,290422.0,233928.0,56494.0
June 2018,,-143336.0,1095626.0,1040514.0,55112.0
September 2018,,-399313.0,959452.0,930906.0,28546.0
December 2018,,-145780.0,744331.0,717876.0,26455.0
March 2019,,-330950.0,596875.0,582524.0,14351.0
June 2019,,-26051.0,511380.0,499147.0,12233.0
September 2019,,-1249630.0,1340491.0,1228212.0,112279.0
December 2019,,-1242110.0,4561768.0,4551803.0,9965.0
March 2020,,-1191404.0,4103598.0,4095606.0,7992.0
June 2020,,-6159685.0,3531517.0,3525870.0,5647.0
September 2020,146971.0,-3657060.0,4976911.0,913441.0,4063470.0
December 2020,157594.0,-2570347.0,8945186.0,4758371.0,4186815.0
March 2021,151863.0,-2276503.0,7342379.0,3233753.0,4108626.0
June 2021,145690.0,-3189582.0,6021715.0,1840314.0,4181401.0
September 2021,146283.0,-2118887.0,3924771.0,1021564.0,2903207.0
December 2021,114896.0,-2377399.0,3483984.0,577947.0,2906037.0
March 2022,104861.0,-4774115.0,3184041.0,421926.0,2762115.0
