,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,1956264.5,3248178.75,,
June 2009,1956264.5,3248178.75,,
September 2009,1956264.5,3248178.75,,
December 2009,1956264.5,3248178.75,,
March 2010,2187309.0,4090126.0,,
June 2010,2376690.0,4575509.0,,
September 2010,3115615.0,4265230.0,,
December 2010,2608846.0,5088842.0,17083883.0,15508834.0
March 2011,3298787.0,6060907.0,,
June 2011,3548726.0,6222036.0,16471327.0,14827055.0
September 2011,3869833.0,7021658.0,27536561.0,12906262.0
December 2011,5369783.0,8566622.0,30122257.0,11407441.0
March 2012,5017479.0,9547783.0,25579741.0,7353803.0
June 2012,5050625.0,8290191.0,24596244.0,6860243.0
September 2012,4793453.0,7847873.0,23723187.0,6485909.0
December 2012,4194337.0,7335390.0,18633158.0,9370643.0
March 2013,3848982.0,7179003.0,10771075.0,5932242.0
June 2013,2912128.0,6682719.0,10287391.0,5726665.0
September 2013,2493354.0,6181802.0,12035180.0,6938152.0
December 2013,2125794.0,6786112.0,11824909.0,7022023.0
March 2014,3064673.0,5201968.0,12531590.0,7939460.0
June 2014,2474413.0,5381167.0,15369710.0,11008588.0
September 2014,2069272.0,4006625.0,10953276.0,6726705.0
December 2014,2725249.0,4204513.0,8033360.0,3996048.0
March 2015,2499046.0,4301674.0,8747892.0,4885241.0
June 2015,2489025.0,3788902.0,5064472.0,4525902.0
September 2015,1848193.0,3047864.0,3149034.0,2660731.0
