,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,,,-129907250.0,
June 2009,,,-129907250.0,
September 2009,,,-129907250.0,
December 2009,,,-129907250.0,
March 2010,,,-22432000.0,
June 2010,,,9052000.0,
September 2010,,,7150000.0,
December 2010,,,-967458000.0,5491993000.0
March 2011,-26196000.0,,6751000.0,
June 2011,-26196000.0,,17262000.0,5278723000.0
September 2011,-26118000.0,,146082000.0,4514810000.0
December 2011,,,167383000.0,2258330000.0
March 2012,-44050000.0,,-359000.0,2305208000.0
June 2012,-44050000.0,,-19711000.0,
September 2012,-30047000.0,,-2890000.0,2236313000.0
December 2012,,,-148588000.0,2168836000.0
March 2013,,,395177000.0,278561000.0
June 2013,,,-4894000.0,329904000.0
September 2013,,,491000.0,328091000.0
December 2013,,,-5947000.0,491663000.0
March 2014,,,-501000.0,525465000.0
June 2014,,70000.0,63351000.0,1081898000.0
September 2014,,21000.0,-2458000.0,1163235000.0
December 2014,,,-5591000.0,1500000000.0
March 2015,,,4000.0,2082688000.0
June 2015,,-11000.0,-265000.0,2437826000.0
September 2015,,14000.0,1990000.0,2451727000.0
