,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,1714.0,-1714.0,,,
June 2010,7410.0,-8181.0,,,
September 2010,8895.0,-8181.0,,,
December 2010,7910.0,-8039.0,,,
March 2011,8241.0,-8533.0,,,
June 2011,9560.0,-9607.0,,,
September 2011,7400.0,-7518.0,,,
December 2011,7335.0,-7335.0,,,
March 2012,6619.0,-6753.0,,,
June 2012,12420.0,-12509.0,,,
September 2012,29648.0,-29648.0,,,
December 2012,55571.0,-55613.0,,,
March 2013,16198.0,-16198.0,,,
June 2013,339625.0,-339625.0,,,
September 2013,650202.0,-650202.0,,,
December 2013,491422.0,-491422.0,,,
March 2014,1598300.0,-205205.0,,,
June 2014,1967400.0,266135.0,,,
September 2014,1452202.0,-640612.0,,,
December 2014,23301.0,-24561.0,14109019.0,6894122.0,7214897.0
March 2015,1569604.0,-854909.0,,,
June 2015,1462203.0,-1019062.0,11125133.0,5202448.0,5922685.0
September 2015,739962.0,-200106.0,9570118.0,4732254.0,4837864.0
December 2015,1918395.0,-2239239.0,6870343.0,3140574.0,3729769.0
March 2016,404292.0,120188.0,5940814.0,2909110.0,3031704.0
