,NetIncomeLoss,Assets
March 2009,-8314750.0,
June 2009,-8314750.0,1300000000.0
September 2009,-8314750.0,
December 2009,-8314750.0,
March 2010,-1073000.0,
June 2010,-4538000.0,
September 2010,-2795000.0,
December 2010,-15687000.0,980626000.0
March 2011,-1511000.0,
June 2011,-4225000.0,909684000.0
September 2011,-1893000.0,857363000.0
December 2011,-934000.0,848448000.0
March 2012,-869000.0,836731000.0
June 2012,-1950000.0,830626000.0
September 2012,-4812000.0,801681000.0
December 2012,-7994000.0,769455000.0
March 2013,118000.0,751378000.0
June 2013,-803000.0,748601000.0
September 2013,342000.0,737000000.0
December 2013,2452000.0,732254000.0
March 2014,1498000.0,734410000.0
June 2014,1378000.0,727212000.0
September 2014,1423000.0,723469000.0
December 2014,811000.0,732553000.0
March 2015,1591000.0,725205000.0
June 2015,1461000.0,727204000.0
September 2015,1534000.0,761911000.0
December 2015,6407000.0,788283000.0
March 2016,2189000.0,798548000.0
June 2016,2034000.0,816452000.0
September 2016,2030000.0,811368000.0
December 2016,4122000.0,832485000.0
March 2017,1812000.0,836702000.0
June 2017,3007000.0,808755000.0
September 2017,2275000.0,809834000.0
