,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2010,10517.0,,-10517.0,,,
September 2010,1187.0,,-1187.0,,,
December 2010,1705.0,,-2683.0,252.0,252.0,
March 2011,3271.0,0.0,-3271.0,,,
June 2011,2672.0,0.0,-2672.0,,,
September 2011,10809.0,0.0,-10960.0,0.0,0.0,
December 2011,1483399.0,0.0,-6561.0,0.0,0.0,
March 2012,253471.0,0.0,-253850.0,0.0,0.0,
June 2012,18064.0,0.0,-18213.0,0.0,0.0,
September 2012,4923366.0,6832.0,-6184556.0,0.0,0.0,
December 2012,4831838.0,-603.0,-78091335.0,463697.0,299632.0,
March 2013,709311.0,0.0,3552970.0,684092.0,397328.0,
June 2013,532757.0,0.0,-3001743.0,2328947.0,1028371.0,
September 2013,7133415.0,0.0,-25410387.0,2301938.0,855925.0,
December 2013,5745800.0,0.0,8497108.0,1886868.0,1218463.0,608405.0
March 2014,6350559.0,0.0,56431400.0,1983909.0,1375125.0,
June 2014,1208692.0,,-9701264.0,1468129.0,911014.0,
September 2014,753118.0,,-4225072.0,1021949.0,649730.0,372219.0
