,Assets
June 2009,63630000000.0
September 2009,59590000000.0
December 2009,59249000000.0
March 2010,57106000000.0
June 2010,55885000000.0
September 2010,55004000000.0
December 2010,53667000000.0
March 2011,55017000000.0
June 2011,54141000000.0
September 2011,60888000000.0
December 2011,61008000000.0
March 2012,62593000000.0
June 2012,62650000000.0
September 2012,63314000000.0
December 2012,65359000000.0
March 2013,64885000000.0
June 2013,62947000000.0
September 2013,64670000000.0
December 2013,65224000000.0
March 2014,65681000000.0
June 2014,65325000000.0
September 2014,68887000000.0
December 2014,69190000000.0
March 2015,69336000000.0
June 2015,69945000000.0
September 2015,71012000000.0
December 2015,71877000000.0
March 2016,69007000000.0
June 2016,71280000000.0
September 2016,74124000000.0
December 2016,72978000000.0
March 2017,72976000000.0
June 2017,71447000000.0
September 2017,72017000000.0
December 2017,71567000000.0
March 2018,72335000000.0
June 2018,71987000000.0
September 2018,71448000000.0
December 2018,70818000000.0
March 2019,70690000000.0
June 2019,72537000000.0
September 2019,72848000000.0
December 2019,73402000000.0
March 2020,76337000000.0
June 2020,84397000000.0
September 2020,83631000000.0
December 2020,88129000000.0
March 2021,86291000000.0
June 2021,88355000000.0
September 2021,94529000000.0
December 2021,94616000000.0
March 2022,89165000000.0
June 2022,86889000000.0
