,NetIncomeLoss,Assets,AssetsNoncurrent
March 2011,2575750.0,,
June 2011,2575750.0,,
September 2011,2575750.0,,
December 2011,2575750.0,,
March 2012,-9575000.0,,
June 2012,46611000.0,,
September 2012,-11645000.0,,
December 2012,-11748000.0,993008000.0,796417000.0
March 2013,2273000.0,,
June 2013,17956000.0,1073472000.0,806112000.0
September 2013,-26327000.0,1232205000.0,971565000.0
December 2013,3573000.0,1301195000.0,993224000.0
March 2014,14010000.0,1389148000.0,
June 2014,-2731000.0,1431323000.0,
September 2014,26304000.0,1478908000.0,
December 2014,21874000.0,1577776000.0,1041123000.0
March 2015,25975000.0,1611486000.0,
June 2015,35640000.0,1677093000.0,
September 2015,36897000.0,1764125000.0,
December 2015,49736000.0,1993523000.0,1402957000.0
March 2016,34433000.0,2068907000.0,
June 2016,25492000.0,2097006000.0,
