,OperatingExpenses,NetIncomeLoss,Assets
March 2009,952698.0,-748366.25,
June 2009,952698.0,-748366.25,
September 2009,952698.0,-748366.25,
December 2009,952698.0,-748366.25,
March 2010,708074.0,-1599156.0,
June 2010,743285.0,-595802.0,
September 2010,741609.0,-1234892.0,
December 2010,518377.0,881030.0,26226763.0
March 2011,604711.0,114652.0,
June 2011,637488.0,-330314.0,24627074.0
September 2011,599890.0,1319762.0,25526179.0
December 2011,554800.0,-1248545.0,23638204.0
March 2012,559750.0,-714975.0,22608078.0
June 2012,522428.0,-393017.0,21646151.0
September 2012,463691.0,203827.0,20980957.0
December 2012,426920.0,-1450123.0,18993851.0
March 2013,404608.0,223088.0,18653162.0
June 2013,435043.0,-214869.0,17809046.0
September 2013,410876.0,-500290.0,16964864.0
December 2013,414717.0,217007.0,16866179.0
March 2014,403174.0,-863178.0,15228927.0
June 2014,244413.0,226595.0,14390656.0
September 2014,220463.0,237057.0,13691525.0
