,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2012,0.0,,16169.0,,,
June 2012,0.0,,16169.0,,,
September 2012,-32308.0,0.0,-32338.0,,,
December 2012,758563.0,0.0,-758893.0,4011.0,4011.0,0.0
March 2013,826818.0,193444.0,-815480.0,,,
June 2013,1319466.0,589865.0,-1334269.0,,,
September 2013,2672791.0,1149059.0,-2668528.0,1850365.0,315750.0,1534615.0
December 2013,3383604.0,2386632.0,-17561467.0,80353797.0,50131729.0,30222068.0
March 2014,3693620.0,2599146.0,-2286749.0,72013067.0,42250545.0,29762522.0
June 2014,4287000.0,2743000.0,-2802000.0,61879461.0,32872633.0,29006828.0
September 2014,4036968.0,2568000.0,-1682000.0,53194125.0,25050133.0,28143992.0
December 2014,6572000.0,5399854.0,-3326251.0,44114000.0,18384000.0,
March 2015,5265000.0,3592615.0,-2972525.0,52503133.0,27361104.0,
June 2015,5541000.0,3696000.0,-3618000.0,60316000.0,33024000.0,
September 2015,6183000.0,4629000.0,-3507000.0,54371000.0,26561000.0,
December 2015,8233000.0,5403385.0,-4905475.0,66978000.0,29789000.0,
March 2016,12633000.0,6343000.0,-10337000.0,54650000.0,20674000.0,
June 2016,8600000.0,6019000.0,-5159000.0,67244000.0,33830000.0,
September 2016,9442000.0,5232000.0,-10648000.0,70303000.0,35914000.0,
December 2016,10274000.0,7873000.0,-9345000.0,61010000.0,36990000.0,
March 2017,11064000.0,6598000.0,-6287000.0,57221000.0,34164000.0,
June 2017,8831000.0,6984000.0,-8728000.0,48562000.0,26365000.0,
September 2017,8670000.0,6624000.0,-6809000.0,43320000.0,21929000.0,
December 2017,8562000.0,6434000.0,-6548000.0,43092000.0,22716000.0,
March 2018,5538000.0,3626000.0,-2312000.0,39327000.0,19949000.0,
June 2018,5604000.0,3617000.0,-6982000.0,34343000.0,15888000.0,
September 2018,5420000.0,3510000.0,-4454000.0,29814000.0,15762000.0,
