,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
June 2010,202015.5,,-185274.0,
September 2010,202015.5,,-153872.0,
December 2010,202015.5,,-160854.0,
March 2011,202015.5,,-161029.0,
June 2011,101035.0,,-109803.0,
September 2011,200246.0,,-103044.0,
December 2011,85626.0,,-65017.0,
March 2012,348117.0,,46900.0,
June 2012,130070.0,,-130203.0,
September 2012,219748.0,,-118291.0,
December 2012,154330.0,,-65801.0,
March 2013,267413.0,,-61412.0,
June 2013,126884.0,,-141259.0,
September 2013,171834.0,,-103150.0,
December 2013,109441.0,,-125354.0,
March 2014,96822.0,,-116267.0,
June 2014,130377.0,65533.5,-151391.0,
September 2014,249972.0,65533.5,-62893.0,
December 2014,210016.0,65533.5,-128613.0,
March 2015,195934.0,65533.5,-63643.0,
June 2015,169914.0,55564.0,-147860.0,
September 2015,170764.0,49376.0,-121195.0,
December 2015,159128.0,54136.0,-856158.0,
March 2016,164923.0,71080.0,273097.0,
June 2016,145057.0,103703.0,-517166.0,
September 2016,174690.0,83769.0,-163816.0,
December 2016,139770.0,111242.0,-238716.0,
March 2017,367934.0,110699.0,-557586.0,
June 2017,171675.0,112475.0,-132132.0,
September 2017,174008.0,82918.0,-330066.0,
December 2017,186909.0,87856.0,-131580.0,
March 2018,373579.0,21787.0,-417369.0,
June 2018,291248.0,156015.0,-1113296.0,
September 2018,163224.0,72780.0,-544399.0,
December 2018,183583.0,103437.0,-1202230.0,
