,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2010,1667.0,-4829.0,-1615.0,,
March 2011,42448.0,13275.0,-42448.0,,
June 2011,36872.0,10808.0,-36992.0,,
September 2011,42479.0,25777.0,-42233.0,,
December 2011,53337.0,18241.0,-52704.0,7078.0,7078.0
March 2012,80233.0,18435.0,-80600.0,4152.0,4152.0
June 2012,106299.0,54748.0,-61598.0,241729.0,241729.0
September 2012,1119366.0,647249.0,-1074131.0,2000179.0,2000179.0
December 2012,379650.0,758603.0,-364860.0,185960.0,185960.0
March 2013,154097.0,93705.0,-154345.0,88528.0,88528.0
June 2013,92285.0,56608.0,-85640.0,66249.0,66249.0
September 2013,153801.0,110152.0,-137572.0,53755.0,53755.0
December 2013,179269.0,158313.0,-280133.0,75349.0,75349.0
March 2014,264299.0,206458.0,-647288.0,146119.0,146119.0
June 2014,738252.6666666666,477590.0,-1417431.6666666667,,
September 2014,738252.6666666666,477590.0,-1417431.6666666667,,
December 2014,738252.6666666666,477590.0,-1417431.6666666667,848688.0,848688.0
March 2015,,,,,
June 2015,,,,,
September 2015,,,,,
December 2015,,,,,
March 2016,851096.0,701686.0,-4342042.0,,
June 2016,3089165.0,1426484.0,-3982723.0,,
September 2016,271368.0,75299.0,-235354.5,,
December 2016,271368.0,75299.0,-235354.5,707777.0,94445.0
March 2017,718441.0,537095.0,-1933868.0,,
June 2017,493890.0,328509.0,784215.0,628895.0,108572.0
September 2017,470155.0,367622.0,-1197482.0,,
December 2017,470155.0,367622.0,-1197482.0,129453.0,129453.0
