,NetIncomeLoss,Assets,AssetsCurrent
March 2009,10960250.0,,
June 2009,10960250.0,,
September 2009,10960250.0,,
December 2009,10960250.0,,
March 2010,11623000.0,,
June 2010,12393000.0,,
September 2010,13298000.0,,
December 2010,11445000.0,357305000.0,107148000.0
March 2011,7694000.0,,
June 2011,9788000.0,377726000.0,118270000.0
September 2011,-37960000.0,397893000.0,139963000.0
December 2011,7234000.0,396376000.0,138265000.0
March 2012,7741000.0,380048000.0,121596000.0
June 2012,5963000.0,383356000.0,124811000.0
September 2012,6336000.0,387498000.0,121418000.0
December 2012,7400000.0,386894000.0,120730000.0
March 2013,6286000.0,394907000.0,109983000.0
June 2013,5790000.0,415388000.0,121656000.0
September 2013,5297000.0,414033000.0,120007000.0
December 2013,4969000.0,422226000.0,129555000.0
March 2014,,468100000.0,114784000.0
June 2014,,497625000.0,148268000.0
September 2014,,495631000.0,137713000.0
December 2014,,491739000.0,135352000.0
March 2015,,490964000.0,133985000.0
June 2015,,509045000.0,153136000.0
September 2015,,568887000.0,205932000.0
December 2015,,566054000.0,138830000.0
March 2016,,582853000.0,145184000.0
June 2016,,619645000.0,173537000.0
September 2016,,613453000.0,159546000.0
December 2016,,614071000.0,149741000.0
March 2017,,642725000.0,167132000.0
June 2017,,672666000.0,165766000.0
September 2017,,765053000.0,191612000.0
December 2017,,793702000.0,200965000.0
March 2018,,805323000.0,208349000.0
June 2018,,1881670000.0,350436000.0
September 2018,,1910764000.0,367183000.0
December 2018,,1928715000.0,366905000.0
March 2019,,2013857000.0,366322000.0
June 2019,,2029855000.0,357804000.0
September 2019,,2097864000.0,373034000.0
December 2019,,2140295000.0,380274000.0
March 2020,,2212282000.0,439493000.0
June 2020,,2357099000.0,564781000.0
September 2020,,2456336000.0,655656000.0
December 2020,,2483354000.0,647022000.0
March 2021,,2522854000.0,683675000.0
June 2021,,2367125000.0,509667000.0
September 2021,,2712686000.0,451599000.0
December 2021,,2895621000.0,433142000.0
March 2022,,2943540000.0,485240000.0
June 2022,,2937874000.0,459590000.0
