,OperatingExpenses,NetIncomeLoss
June 2007,1429.4545454545455,-2340.3333333333335
September 2007,1429.4545454545455,-2340.3333333333335
December 2007,1429.4545454545455,-2340.3333333333335
March 2008,1429.4545454545455,-887.5
June 2008,1429.4545454545455,-887.5
September 2008,1429.4545454545455,-887.5
December 2008,1429.4545454545455,-887.5
March 2009,1429.4545454545455,-2288.25
June 2009,1429.4545454545455,-2288.25
September 2009,1429.4545454545455,-2288.25
December 2009,1429.4545454545455,-2288.25
March 2010,1554.0,-7154.0
June 2010,769.0,-769.0
September 2010,775.0,-775.0
December 2010,769.0,-769.0
March 2011,1633.0,-5346.0
June 2011,763.0,-763.0
September 2011,1763.0,-1763.0
December 2011,1762.0,-1762.0
March 2012,2518.0,-5018.0
June 2012,1828.0,-1828.0
September 2012,1060.0,-1060.0
December 2012,1060.0,-1060.0
March 2013,1670.0,-5373.0
June 2013,711189.0,-711189.0
September 2013,1100.0,-1100.0
