,Assets
March 2011,
June 2011,
September 2011,1633826000.0
December 2011,1563575000.0
March 2012,1549137000.0
June 2012,
September 2012,1499872000.0
December 2012,1481192000.0
March 2013,1466135000.0
June 2013,1461132000.0
September 2013,1441948000.0
December 2013,1453594000.0
March 2014,1448542000.0
June 2014,1442306000.0
September 2014,1420933000.0
December 2014,1465410000.0
March 2015,1443369000.0
June 2015,1439738000.0
September 2015,1431423000.0
December 2015,1512443000.0
March 2016,1511808000.0
June 2016,1499831000.0
September 2016,1540273000.0
December 2016,1620037000.0
March 2017,1603473000.0
June 2017,1623418000.0
September 2017,1654269000.0
December 2017,1625558000.0
March 2018,1559929000.0
June 2018,1567498000.0
September 2018,1532484000.0
December 2018,1585325000.0
March 2019,1545020000.0
June 2019,1533922000.0
September 2019,1491982000.0
December 2019,1488015000.0
March 2020,1450282000.0
June 2020,1593129000.0
September 2020,1604943000.0
December 2020,1596842000.0
March 2021,1620385000.0
June 2021,1656622000.0
September 2021,1660142000.0
December 2021,1700682000.0
March 2022,1660152000.0
June 2022,1644886000.0
