,NetIncomeLoss,Assets,AssetsCurrent
March 2009,30260250.0,,
June 2009,30260250.0,,
September 2009,30260250.0,,
December 2009,30260250.0,,
March 2010,-3790000.0,,
June 2010,7684000.0,,
September 2010,13590000.0,,
December 2010,36588000.0,942202000.0,570577000.0
March 2011,19545000.0,,
June 2011,21595000.0,1678669000.0,1299715000.0
September 2011,14234000.0,1629355000.0,1253600000.0
December 2011,19202000.0,1641025000.0,1275724000.0
March 2012,-7777000.0,1633247000.0,1276269000.0
June 2012,-5594000.0,1467539000.0,1099865000.0
September 2012,-885000.0,1472813000.0,1104624000.0
December 2012,-6088000.0,1490625000.0,1122667000.0
March 2013,-1538000.0,1487518000.0,1126372000.0
June 2013,2611000.0,1512874000.0,1157684000.0
September 2013,3231000.0,1246006000.0,899460000.0
December 2013,10812000.0,1325628000.0,975975000.0
March 2014,6266000.0,1283964000.0,938774000.0
June 2014,9716000.0,1279445000.0,939117000.0
September 2014,9805000.0,1179098000.0,840736000.0
December 2014,16276000.0,1197557000.0,875606000.0
March 2015,10004000.0,1220283000.0,901539000.0
June 2015,13371000.0,1234495000.0,939141000.0
September 2015,13188000.0,1094922000.0,791165000.0
December 2015,27461000.0,1155923000.0,834476000.0
March 2016,15718000.0,1115910000.0,790759000.0
June 2016,17780000.0,1515600000.0,1193265000.0
September 2016,21618000.0,1523259000.0,1209315000.0
December 2016,36188000.0,1501186000.0,1185672000.0
March 2017,12333000.0,1726107000.0,1214061000.0
June 2017,18911000.0,1786030000.0,1282112000.0
