,NetIncomeLoss,Assets,AssetsCurrent
March 2011,,,
June 2011,,,
September 2011,,,
December 2011,,,
March 2012,,,
June 2012,,,
September 2012,,,
December 2012,,7002.0,7002.0
March 2013,,,
June 2013,,3927.0,3927.0
September 2013,,,
December 2013,,1479.0,1479.0
March 2014,-29580.0,251.0,251.0
June 2014,7611.0,161.0,161.0
September 2014,-27008.0,71.0,71.0
December 2014,,41.0,41.0
March 2015,-26668.0,41.0,41.0
June 2015,-26780.0,41.0,41.0
September 2015,-24225.0,41.0,41.0
December 2015,,41.0,41.0
March 2016,-29487.0,29.0,29.0
June 2016,-24504.0,,
September 2016,-24225.0,,
December 2016,-23725.0,0.0,0.0
March 2017,-30975.0,,
June 2017,-24475.0,,
September 2017,-24225.0,0.0,0.0
December 2017,-30975.0,0.0,0.0
March 2018,-24475.0,0.0,0.0
June 2018,-24475.0,0.0,0.0
September 2018,-24275.0,0.0,0.0
December 2018,,0.0,0.0
March 2019,-24475.0,0.0,0.0
