,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2006,35892.882352941175,,-1230.0,,,
September 2006,35892.882352941175,,-1463.75,,,
December 2006,35892.882352941175,,-1463.75,,,
March 2007,35892.882352941175,,-1463.75,,,
June 2007,35892.882352941175,,-1463.75,,,
September 2007,35892.882352941175,,-14641.75,,,
December 2007,35892.882352941175,,-14641.75,,,
March 2008,35892.882352941175,,-14641.75,,,
June 2008,35892.882352941175,,-14641.75,,,
September 2008,35892.882352941175,,-7701.5,,,
December 2008,35892.882352941175,,-7701.5,,,
March 2009,35892.882352941175,,-7701.5,,,
June 2009,35892.882352941175,,-7701.5,,,
September 2009,35892.882352941175,,-128430.25,,,
December 2009,35892.882352941175,,-128430.25,,,
March 2010,35892.882352941175,,-128430.25,,,
June 2010,35892.882352941175,,-128430.25,,,
September 2010,63244.0,,-63408.0,,,
December 2010,382.0,,-1615.0,,,
March 2011,3602.0,,-4863.0,,,
June 2011,1640.0,,-2908.0,,,
September 2011,7898.0,0.0,-9669.0,1458.0,1458.0,
December 2011,12981.0,0.0,-14976.0,18418.0,18418.0,
March 2012,5495.0,0.0,-6862.0,3936.0,3936.0,
June 2012,32853.0,0.0,-32853.0,1052.0,1052.0,
September 2012,21762.0,0.0,-1656.0,15942.0,15942.0,
December 2012,20117.0,0.0,-23367.0,35119.0,35119.0,
March 2013,35410.0,0.0,-4651.0,21866.0,21866.0,
June 2013,32629.0,0.0,-12317.0,11153.0,11153.0,
September 2013,98384.0,,-76033.0,41131.0,9631.0,31500.0
December 2013,191504.0,,-176491.0,380925.0,44573.0,
March 2014,432742.0,,-400527.0,712427.0,113849.0,
June 2014,1064368.0,,-1043185.0,1361488.0,604094.0,
September 2014,1620301.0,,-1638966.0,2132140.0,1382825.0,
December 2014,1355528.0,,-1401235.0,2313316.0,1562942.0,
March 2015,984797.0,,-726629.0,13901615.0,99567.0,
