,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2008,70500000.0,520750000.0,,
June 2008,70500000.0,520750000.0,,
September 2008,70500000.0,520750000.0,,
December 2008,70500000.0,520750000.0,,
March 2009,70000000.0,176000000.0,,
June 2009,71000000.0,209000000.0,,
September 2009,72000000.0,272000000.0,,
December 2009,87000000.0,352000000.0,12475000000.0,821000000.0
March 2010,62000000.0,316000000.0,,
June 2010,70000000.0,235000000.0,12149000000.0,896000000.0
September 2010,67000000.0,221000000.0,12471000000.0,737000000.0
December 2010,209000000.0,400000000.0,13396000000.0,890000000.0
March 2011,73000000.0,307000000.0,13437000000.0,899000000.0
June 2011,74000000.0,338000000.0,13723000000.0,854000000.0
September 2011,66000000.0,342000000.0,14047000000.0,881000000.0
December 2011,77000000.0,524000000.0,14380000000.0,914000000.0
March 2012,126000000.0,408000000.0,15405000000.0,1001000000.0
June 2012,148000000.0,193000000.0,18040000000.0,793000000.0
September 2012,134000000.0,290000000.0,18873000000.0,1090000000.0
December 2012,145000000.0,341000000.0,19709000000.0,850000000.0
March 2013,123000000.0,321000000.0,20292000000.0,952000000.0
June 2013,131000000.0,271000000.0,20890000000.0,929000000.0
September 2013,130000000.0,284000000.0,21633000000.0,864000000.0
December 2013,109000000.0,191000000.0,23571000000.0,968000000.0
March 2014,130000000.0,352000000.0,24791000000.0,1412000000.0
June 2014,132000000.0,232000000.0,25738000000.0,1718000000.0
September 2014,129000000.0,217000000.0,25814000000.0,1190000000.0
