,NetIncomeLoss,Assets,AssetsCurrent
September 2009,6830000.0,,
December 2009,6830000.0,,
March 2010,6830000.0,,
June 2010,6830000.0,,
September 2010,133000.0,,
December 2010,10934000.0,,
March 2011,18371000.0,,
June 2011,35217000.0,2798860000.0,209433000.0
September 2011,66331000.0,2848623000.0,223025000.0
December 2011,97089000.0,2944982000.0,286622000.0
March 2012,91252000.0,3018964000.0,289099000.0
June 2012,81155000.0,3130947000.0,347980000.0
September 2012,18260000.0,3118850000.0,237973000.0
December 2012,41332000.0,3265303000.0,245203000.0
March 2013,40436000.0,3453972000.0,229478000.0
June 2013,62053000.0,3611711000.0,237898000.0
September 2013,43139000.0,3743584000.0,249138000.0
December 2013,1928000.0,4161708000.0,555377000.0
March 2014,6318000.0,4181116000.0,474932000.0
June 2014,-15403000.0,7436778000.0,457759000.0
September 2014,-6403000.0,7401370000.0,398395000.0
December 2014,-275963000.0,7131008000.0,465431000.0
March 2015,-495061000.0,6835343000.0,836752000.0
June 2015,-1690004000.0,4690829000.0,968923000.0
September 2015,-573392000.0,3558629000.0,732112000.0
December 2015,-1310583000.0,1764237000.0,534207000.0
March 2016,160776000.0,1202445000.0,317065000.0
June 2016,-195552000.0,1025434000.0,348884000.0
September 2016,-131146000.0,924659000.0,354542000.0
