,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2007,-2525.0,,,
December 2007,-3241.0,,,
March 2008,-3241.0,,,
June 2008,-3241.0,,,
September 2008,-3241.0,,,
December 2008,-5334.5,,,
March 2009,-5334.5,,,
June 2009,-5334.5,,,
September 2009,-5334.5,,,
December 2009,-194305.25,,,
March 2010,-194305.25,,,
June 2010,-194305.25,,,
September 2010,-194305.25,3248869.0,545592.0,2703277.0
December 2010,-460315.0,,,
March 2011,-552522.0,,,
June 2011,-373725.0,,,
September 2011,-565502.0,3440501.0,647610.0,2792891.0
December 2011,-461831.0,3093658.0,271279.0,2822379.0
March 2012,-679888.0,2998864.0,179229.0,2819635.0
June 2012,-373725.0,2859490.0,42599.0,2816891.0
September 2012,-220412.0,2823168.0,9020.0,2814148.0
December 2012,-198195.0,2819363.0,7463.0,2811900.0
March 2013,,,,
June 2013,-395709.0,,,
