,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2016,6733.0,3333.3333333333335,,-1733.0,0.0,,
December 2016,3569.0,3333.3333333333335,,-3569.0,,,
March 2017,6964.0,3333.3333333333335,,-163.0,16598.0,,
June 2017,7109.0,,,-13067.0,34934.0,,
September 2017,7796.0,261309.5,71235.5,-7796.0,40125.0,24549.0,
December 2017,2966.0,261309.5,71235.5,-2966.0,34029.0,,
March 2018,13311.0,261309.5,71235.5,-10110.0,31063.0,,
June 2018,1306107.0,261309.5,71235.5,-10110.0,,,
September 2018,21458.0,515704.25,480188.0,0.0,29111.0,17439.0,11672.0
December 2018,1636295.0,515704.25,1636295.0,-1288571.0,29111.0,17439.0,11672.0
March 2019,8850.0,515704.25,1649954.0,-1219341.0,,,
June 2019,3042583.0,515704.25,-1120068.0,-1104630.0,0.0,0.0,0.0
September 2019,868713.0,,868713.0,-762102.0,1315062.0,258178.0,1056884.0
December 2019,163543.0,,163543.0,-162864.0,477827.0,232264.0,245563.0
March 2020,87933.0,,87933.0,-87933.0,336238.0,131043.0,205195.0
