,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2012,37674000.0,-5613500.0,,
June 2012,37674000.0,-5613500.0,,
September 2012,37674000.0,-5613500.0,,
December 2012,37674000.0,-5613500.0,,
March 2013,35595000.0,-9229000.0,,
June 2013,39577000.0,-6237000.0,,
September 2013,37552000.0,-5331000.0,,
December 2013,46220000.0,2561000.0,192282000.0,73570000.0
March 2014,38998000.0,-7759000.0,,
June 2014,41108000.0,-595000.0,220487000.0,102045000.0
September 2014,41609000.0,-150000.0,224653000.0,106014000.0
December 2014,50768000.0,21187000.0,313491000.0,124921000.0
March 2015,49207000.0,-8068000.0,334774000.0,116174000.0
June 2015,57219000.0,1694000.0,341356000.0,124124000.0
September 2015,58341000.0,-12718000.0,350269000.0,105925000.0
December 2015,72324000.0,7452000.0,367710000.0,125115000.0
March 2016,68962000.0,-16105000.0,356249000.0,114283000.0
June 2016,64407000.0,-8951000.0,345078000.0,100949000.0
September 2016,62985000.0,-5780000.0,341510000.0,97296000.0
