,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
December 2009,868.0,-868.0,
March 2010,868.0,-868.0,
June 2010,187.0,-187.0,
September 2010,160.0,-160.0,386.0
December 2010,291.0,-291.0,
March 2011,13520.0,-13520.0,
June 2011,984.0,-984.0,207.0
September 2011,1166.0,-1166.0,147.0
December 2011,75336.0,-75336.0,87.0
March 2012,75246.0,-75246.0,27.0
June 2012,32024.0,-32024.0,27.0
September 2012,10589.0,-10589.0,27.0
December 2012,10389.0,-10389.0,27.0
March 2013,2995.0,-2995.0,27.0
June 2013,3971.0,-3971.0,27.0
September 2013,6099.0,-6099.0,27.0
December 2013,50393.0,-50393.0,27.0
