,Assets
March 2011,
June 2011,431143000.0
September 2011,433681000.0
December 2011,421605000.0
March 2012,403865000.0
June 2012,402616000.0
September 2012,385687000.0
December 2012,379128000.0
March 2013,371165000.0
June 2013,369194000.0
September 2013,376408000.0
December 2013,346943000.0
March 2014,347879000.0
June 2014,363532000.0
September 2014,387938000.0
December 2014,402687000.0
March 2015,403380000.0
June 2015,416704000.0
September 2015,429544000.0
December 2015,432627000.0
March 2016,439622000.0
June 2016,454258000.0
September 2016,457849000.0
December 2016,452175000.0
March 2017,401968000.0
June 2017,395454000.0
September 2017,410464000.0
December 2017,405993000.0
March 2018,426428000.0
June 2018,448688000.0
September 2018,488056000.0
December 2018,496493000.0
March 2019,528783000.0
June 2019,542731000.0
September 2019,567932000.0
December 2019,561368000.0
March 2020,558938000.0
June 2020,551705000.0
September 2020,543219000.0
December 2020,544016000.0
March 2021,501871000.0
June 2021,510341000.0
September 2021,559100000.0
December 2021,541226000.0
March 2022,544768000.0
June 2022,484660000.0
