,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,629487.5,-1097953.0,,,
June 2010,,629487.5,-1097953.0,,,
September 2010,,1258749.0,23578454.0,,,
December 2010,,1377355.0,-3456698.0,40887578.0,3474576.0,50952.0
March 2011,,1061778.0,11533275.0,,,
June 2011,,1581112.0,-787343.0,,,
September 2011,,1401996.0,616173.0,55692535.0,8893901.0,525952.0
December 2011,,1629053.0,-2435429.0,58225817.0,12157720.0,12694928.0
March 2012,,1412775.0,-1496468.0,55152661.0,8750440.0,351902.0
June 2012,,1909215.0,-1870421.0,,,
September 2012,,1226313.0,-3569772.0,73788980.0,11100445.0,1205726.0
December 2012,,1371578.0,-14266943.0,62438461.0,5404186.0,5891307.0
March 2013,,1560338.0,-2693136.0,85101735.0,30034231.0,919321.0
June 2013,,1540089.0,-2618595.0,88896418.0,23747928.0,844923.0
September 2013,,1633112.0,-6095788.0,83066423.0,6750858.0,2743245.0
December 2013,,1497059.0,-6327832.0,90115321.0,9106803.0,442963.0
March 2014,8868105.75,1447819.0,-1528234.0,94218512.0,11362165.0,304376.0
June 2014,8868105.75,1534477.0,-10949911.0,93780118.0,14393247.0,3587480.0
September 2014,8868105.75,1176853.0,-7305954.0,11769145.0,11679276.0,3696842.0
December 2014,8868105.75,1867409.0,7243838.0,111769145.0,13159528.0,
March 2015,6020846.0,1180830.0,2668669.0,123111628.0,14135341.0,
June 2015,8574029.0,1844624.0,-8482215.0,103392482.0,11315392.0,
September 2015,4117202.0,755637.0,-4600476.0,101385324.0,11689133.0,
December 2015,6745845.0,1286313.0,-9215445.0,93312907.0,6833183.0,
March 2016,10643892.0,,-13856011.0,85880121.0,7856456.0,
June 2016,6907053.0,,-13720692.0,79286970.0,5604107.0,
September 2016,4880352.0,,-7977752.0,77937716.0,5254301.0,
