,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2013,179461.75,643496.0,374031.25,,
December 2013,179461.75,643496.0,374031.25,,
March 2014,179461.75,643496.0,374031.25,,
June 2014,179461.75,643496.0,374031.25,2770056.0,2275834.0
September 2014,207243.0,683230.0,-126783.0,,
December 2014,293386.0,1234908.0,-1099111.0,,
March 2015,221227.5,879997.5,-126207.0,,
June 2015,221227.5,879997.5,-126207.0,2939174.0,1927280.0
September 2015,206314.0,703000.0,70387.0,3204375.0,2216895.0
December 2015,261150.0,1067780.0,-182681.0,3136226.0,2141840.0
March 2016,258410.0,825650.0,-716876.0,,
June 2016,253587.0,817303.0,-255261.0,5534385.0,2142757.0
September 2016,207660.0,738850.0,-666273.0,4868447.0,1173024.0
December 2016,191321.0,1030319.0,-1493668.0,3556391.0,1242932.0
March 2017,173399.0,1129174.0,-1157868.0,3275723.0,1254137.0
