,Assets
December 2010,658942814.0
March 2011,
June 2011,648160000.0
September 2011,633727000.0
December 2011,659453000.0
March 2012,677095000.0
June 2012,670543000.0
September 2012,672436000.0
December 2012,701010310.0
March 2013,707115000.0
June 2013,709155000.0
September 2013,741436000.0
December 2013,770578843.0
March 2014,782654000.0
June 2014,785296000.0
September 2014,794124000.0
December 2014,855209124.0
March 2015,856521000.0
June 2015,852954000.0
September 2015,933542000.0
December 2015,974684000.0
March 2016,990834000.0
June 2016,994068000.0
September 2016,991142000.0
December 2016,1028447000.0
March 2017,1049768000.0
June 2017,1020892000.0
September 2017,1010758000.0
December 2017,1053193000.0
March 2018,1041136000.0
June 2018,1047107000.0
September 2018,1052877000.0
December 2018,1086012000.0
March 2019,1086973000.0
June 2019,1083497000.0
September 2019,1083015000.0
December 2019,1110790000.0
March 2020,1143378000.0
June 2020,1246971000.0
September 2020,1200539000.0
December 2020,1239505000.0
March 2021,1274258000.0
