,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,15484028.0,6099898.0,-957118.0,,
June 2010,14227095.0,5822272.0,395229.0,,
September 2010,16749204.0,5988544.0,-1263943.0,,
December 2010,16793978.0,5371335.0,-2646905.0,73644202.0,8199647.0
March 2011,15169367.0,5317448.0,-633614.0,,
June 2011,15158907.0,5210519.0,-817767.0,85654764.0,10042468.0
September 2011,13415028.0,5202866.0,871127.0,87981234.0,11902407.0
December 2011,14923977.0,5309593.0,-587155.0,91527604.0,13680188.0
March 2012,15433756.0,5136761.0,-339001.0,96439377.0,15637954.0
June 2012,15007710.0,5436522.0,72745.0,101020562.0,15561359.0
September 2012,15106534.0,5165190.0,-31575.0,110740674.0,18695508.0
December 2012,15255831.0,5063528.0,-249162.0,108482999.0,13386747.0
March 2013,14704328.0,4987133.0,186981.0,117743013.0,16849641.0
June 2013,16699650.0,6400964.0,-984731.0,121959296.0,19009162.0
September 2013,15420341.0,5121467.0,-328272.0,117342085.0,13187062.0
December 2013,15679240.0,5736769.0,-828325.0,124981239.0,15268294.0
March 2014,14464199.0,4763862.0,-287901.0,118739793.0,10419861.0
