,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2014,-254.75,,-4.75,,,
December 2014,-254.75,,-4.75,,,
March 2015,-254.75,,-4.75,,,
June 2015,-254.75,,-4.75,5301.0,10037.0,15338.0
September 2015,-6005.0,4705.5,-3575.0,,,
December 2015,-3407.0,4705.5,-2357.0,,,
March 2016,-3408.0,3408.0,-1069.0,9508.0,4989.0,4519.0
June 2016,-12546.0,,-11587.0,8498.0,3872.0,12370.0
September 2016,-12391.0,,-1419.0,8162.0,1589.0,9751.0
December 2016,-4202.0,,-936.0,7826.0,989.0,8815.0
March 2017,-7194.0,,-4046.0,7489.0,770.0,8259.0
June 2017,-2841.0,,11436.0,7153.0,10042.0,17195.0
September 2017,-8698.0,,-2494.0,6817.0,24628.0,31445.0
December 2017,-3016.0,,6327.0,6480.0,14547.0,21027.0
March 2018,-4033.0,,-4033.0,6144.0,10850.0,16994.0
June 2018,-4830.0,,,5808.0,12657.0,18465.0
September 2018,-12148.0,,-12148.0,5472.0,25845.0,31317.0
December 2018,-6127.0,,-6128.0,5135.0,20054.0,25189.0
March 2019,-6386.0,,-6386.0,15899.0,6904.0,22803.0
