,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,27398000.0,10064000.0,-4913000.0,,,
June 2010,27926000.0,10404000.0,-5947000.0,,,
September 2010,31358000.0,10273000.0,-17548000.0,,,
December 2010,48216000.0,15411000.0,-21352000.0,217120000.0,123640000.0,
March 2011,42624000.0,14790000.0,-21279000.0,,,
June 2011,38171000.0,13932000.0,-11269000.0,178124000.0,94251000.0,
September 2011,37269000.0,13540000.0,-13098000.0,164567000.0,85361000.0,
December 2011,33926000.0,12300000.0,-9163000.0,163342000.0,88594000.0,
March 2012,32076000.0,12823000.0,-14151000.0,155663000.0,83281000.0,
June 2012,35485000.0,11370000.0,-19039000.0,140768000.0,72506000.0,68262000.0
September 2012,26359000.0,9266000.0,823000.0,126697000.0,60640000.0,
December 2012,28531000.0,9326000.0,-5251000.0,123385000.0,58948000.0,
March 2013,25453000.0,8033000.0,-10360000.0,110983000.0,48779000.0,
June 2013,23182000.0,7083000.0,-5687000.0,107509000.0,47051000.0,
September 2013,17453000.0,5881000.0,-851000.0,99748000.0,41246000.0,
December 2013,58438000.0,6282000.0,-37037000.0,66724000.0,43199000.0,
March 2014,19915000.0,5744000.0,-5247000.0,61676000.0,39509000.0,
June 2014,18074000.0,4935000.0,-2344000.0,60572000.0,39732000.0,
September 2014,16777000.0,4664000.0,-361000.0,57837000.0,37229000.0,
