,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,-360658.0,-347642.0,-423545.0,,,
June 2010,-379910.0,-371858.0,-209323.0,,,
September 2010,271785.0,,-112423.0,,,
December 2010,1772655.0,,-1401322.0,3332345.0,1140316.0,2192029.0
March 2011,286194.0,-278822.0,-500013.0,,,
June 2011,-327279.0,-314113.0,-408198.0,2996033.0,1022231.0,1973802.0
September 2011,244694.0,,-341977.0,2862681.0,937694.0,1924987.0
December 2011,962596.0,,-261701.0,2866331.0,983421.0,1882910.0
March 2012,189513.0,,-156011.0,2746513.0,892191.0,1854322.0
June 2012,225517.0,,-35231.0,,,
September 2012,240796.0,,683062.0,3280020.0,1430160.0,1849860.0
December 2012,249252.0,,-389467.0,2500423.0,942664.0,1557759.0
March 2013,352612.0,,-360786.0,2353793.0,797800.0,1555993.0
June 2013,147242.0,,-197068.0,1862399.0,307271.0,1555128.0
September 2013,226540.0,,-177902.0,1812948.0,259223.0,1553725.0
December 2013,231912.0,,-1772115.0,238723.0,235785.0,2938.0
March 2014,190695.0,,-177442.0,,,
June 2014,356769.0,,-315383.0,502337.0,466122.0,36215.0
September 2014,256536.0,,-266683.0,328606.0,296756.0,31850.0
December 2014,419095.0,,-338176.0,127975.0,99370.0,28605.0
March 2015,191120.0,,-151222.0,164667.0,139307.0,25360.0
June 2015,274666.0,,-230506.0,,,
September 2015,179207.0,,-190424.0,164012.0,143981.0,
December 2015,276303.0,,-285876.0,137942.0,121150.0,
