,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,47872000.0,-3446500.0,
June 2009,47872000.0,-3446500.0,
September 2009,47872000.0,-3446500.0,
December 2009,47872000.0,-3446500.0,
March 2010,32752000.0,-5071000.0,
June 2010,43413000.0,10661000.0,
September 2010,36339000.0,4543000.0,
December 2010,38038000.0,-21857000.0,2133123000.0
March 2011,32261000.0,-14797000.0,
June 2011,38443000.0,-10519000.0,2158646000.0
September 2011,39124000.0,-6434000.0,2181798000.0
December 2011,44547000.0,15333000.0,2200383000.0
March 2012,37692000.0,8523000.0,2194630000.0
June 2012,41952000.0,14263000.0,2242321000.0
September 2012,43121000.0,21710000.0,2610353000.0
December 2012,49442000.0,486925000.0,3113074000.0
March 2013,46294000.0,21824000.0,3125699000.0
June 2013,54598000.0,43136000.0,3204413000.0
September 2013,61939000.0,58935000.0,3530196000.0
December 2013,67860000.0,64820000.0,3662105000.0
March 2014,58590000.0,38159000.0,3629252000.0
June 2014,67835000.0,56463000.0,3728164000.0
September 2014,70164000.0,56599000.0,3793070000.0
December 2014,79272000.0,64644000.0,4151639000.0
March 2015,66070000.0,31605000.0,4192149000.0
June 2015,79910000.0,57198000.0,4319892000.0
September 2015,73260000.0,47177000.0,4561209000.0
December 2015,171470000.0,77529000.0,8345505000.0
March 2016,136701000.0,72661000.0,8431737000.0
June 2016,165694000.0,112760000.0,8649977000.0
September 2016,170815000.0,132348000.0,8632461000.0
December 2016,191249000.0,166961000.0,8709044000.0
March 2017,156276000.0,82620000.0,8693770000.0
June 2017,173997000.0,98994000.0,8866796000.0
September 2017,168429000.0,93352000.0,9079034000.0
