,Assets
March 2011,
June 2011,135546000.0
September 2011,133570000.0
December 2011,132454000.0
March 2012,132106000.0
June 2012,138130000.0
September 2012,137642000.0
December 2012,135716000.0
March 2013,136772000.0
June 2013,134916000.0
September 2013,134929000.0
December 2013,133980000.0
March 2014,137478000.0
June 2014,143267000.0
September 2014,145706000.0
December 2014,144865000.0
March 2015,147016000.0
June 2015,146493000.0
September 2015,149499000.0
December 2015,147841000.0
March 2016,148612000.0
June 2016,152021000.0
September 2016,154165000.0
December 2016,148579000.0
March 2017,148942000.0
June 2017,149602000.0
September 2017,151315000.0
December 2017,146438000.0
March 2018,146074000.0
June 2018,146299000.0
September 2018,147720000.0
December 2018,144231000.0
March 2019,149839000.0
June 2019,151858000.0
September 2019,154112000.0
December 2019,153934000.0
March 2020,150486000.0
June 2020,152717000.0
September 2020,155556000.0
December 2020,150540000.0
March 2021,151575000.0
June 2021,153548000.0
September 2021,163259000.0
December 2021,151683000.0
March 2022,149339000.0
