,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2007,0.0,,-2000.0,,,
June 2007,0.0,,-2000.0,,,
September 2007,7000.0,0.0,-11250.0,,,
December 2007,7000.0,0.0,-11250.0,,,
March 2008,7000.0,0.0,-11250.0,,,
June 2008,7000.0,0.0,-11250.0,,,
September 2008,7000.0,0.0,-2375.0,,,
December 2008,7000.0,0.0,-2375.0,,,
March 2009,7000.0,0.0,-2375.0,,,
June 2009,7000.0,0.0,-2375.0,,,
September 2009,7000.0,0.0,-6375.0,,,
December 2009,7000.0,0.0,-6375.0,,,
March 2010,7000.0,0.0,-6375.0,,,
June 2010,7000.0,0.0,-6375.0,,,
September 2010,2000.0,0.0,-2000.0,,,
December 2010,2000.0,0.0,-2000.0,,,
March 2011,2000.0,0.0,-2000.0,,,
June 2011,9113.0,0.0,-9113.0,,,
September 2011,2000.0,0.0,-2000.0,,,
December 2011,2000.0,0.0,-2000.0,,,
March 2012,2000.0,0.0,-2000.0,,,
June 2012,12572.0,0.0,-12572.0,,,
September 2012,2000.0,0.0,-2000.0,,,
December 2012,6400.0,0.0,-2000.0,,,
March 2013,3550.0,0.0,-3550.0,,,
June 2013,4066.0,0.0,-4066.0,,,
September 2013,186779.0,34932.0,-186771.0,,,
December 2013,224371.0,29448.0,-224356.0,259052.0,222057.0,36995.0
March 2014,313405.0,41330.0,-313398.0,220477.0,183445.0,
June 2014,291570.0,43369.0,-288978.0,183095.0,147042.0,
September 2014,346192.0,2193.0,-401271.0,,,
December 2014,346192.0,2193.0,-401271.0,92335.0,65580.0,26755.0
March 2015,507811.0,0.0,-567483.0,123663.0,99575.0,24088.0
June 2015,412833.0,31118.0,-429008.0,161074.0,139656.0,21418.0
