,NetIncomeLoss,Assets,AssetsCurrent
March 2010,-827047.0,,
June 2010,-827047.0,,
September 2010,-501211.0,,
December 2010,-126194.0,5263980.0,28128.0
March 2011,-156912.0,,
June 2011,-766031.0,,
September 2011,-159307.0,5212837.0,31290.0
December 2011,-3567687.0,1774808.0,13412.0
March 2012,-150154.0,1775863.0,16970.0
June 2012,-196928.0,,
September 2012,-186341.0,1769108.0,13686.0
December 2012,-1584543.0,406524.0,54840.0
March 2013,-315047.0,439051.0,44703.0
June 2013,-208977.0,429595.0,36307.0
September 2013,-325019.0,418982.0,27937.0
December 2013,-242043.0,548784.0,162730.0
March 2014,-257480.0,471835.0,88019.0
June 2014,-243484.0,442812.0,60640.0
September 2014,-413815.0,501510.0,121090.0
December 2014,-582859.0,339794.0,73374.0
