,Assets
March 2012,1657891000.0
June 2012,
September 2012,1331345000.0
December 2012,1752530000.0
March 2013,1670731000.0
June 2013,2071502000.0
September 2013,2255959000.0
December 2013,1445510000.0
March 2014,1174894000.0
June 2014,1246662000.0
September 2014,
December 2014,
March 2015,
June 2015,
September 2015,
December 2015,
March 2016,
June 2016,
September 2016,
December 2016,
March 2017,
June 2017,
September 2017,
December 2017,
March 2018,
June 2018,
September 2018,
December 2018,
March 2019,537270000.0
June 2019,
September 2019,470639000.0
December 2019,452046000.0
March 2020,437723000.0
June 2020,133593000.0
September 2020,122532000.0
December 2020,119439000.0
