,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2010,0.0,0.0,,,
September 2010,680.0,-680.0,,,
December 2010,12.0,37.0,,,
March 2011,22025.0,-21911.0,1259.0,1259.0,
June 2011,6875.0,-6923.0,38584.0,38584.0,
September 2011,5074.0,46927.0,118382.0,118382.0,
December 2011,41732.0,-35774.0,50589.0,50589.0,
March 2012,4996.0,3043.0,46295.0,9167.0,
June 2012,2861.0,-3031.0,46259.0,9131.0,
September 2012,11518.0,-11888.0,45447.0,8319.0,
December 2012,5186.0,-5687.0,45411.0,8283.0,
March 2013,16542.0,-23326.0,30940.0,30940.0,
June 2013,1981.0,-2663.0,30970.0,30970.0,
September 2013,11211.0,-21814.0,30940.0,30940.0,
December 2013,6825.0,-13507.0,278.0,278.0,
March 2014,5569.0,-21327.0,0.0,0.0,
June 2014,95568.0,25696.0,19894.0,19894.0,
September 2014,142835.0,793636.0,1063052.0,1063052.0,
December 2014,1582525.0,-373531.0,940565.0,940565.0,
March 2015,366851.0,621431.0,3421897.0,681473.0,2740424.0
June 2015,103598.0,1452222.0,1644412.0,1644412.0,
September 2015,675353.0,889404.0,6159552.0,987669.0,5171883.0
December 2015,465947.0,1274590.0,7752002.0,1837374.0,5914628.0
