,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2008,,,-7374.166666666667,,
September 2008,,,-7374.166666666667,,
December 2008,,,-7374.166666666667,,
March 2009,,,-7374.166666666667,,
June 2009,,,-7374.166666666667,,
September 2009,,,-7374.166666666667,,
December 2009,,,-8953.0,,
March 2010,,,-4756.0,,
June 2010,,,-8953.0,,
September 2010,,,-6597.0,,
December 2010,,,-1439.0,,
March 2011,,,-2355.0,,
June 2011,,,-1925.0,,
September 2011,,,-7155.0,,
December 2011,,,-3118.0,,
March 2012,,,-191388.0,,
June 2012,,,,,
September 2012,,,,,
December 2012,,,,2050491.0,1315271.0
March 2013,352746.0,647483.5,-762479.0,3185976.0,2374626.0
June 2013,948317.0,647483.5,-945896.0,3087740.0,2232144.0
September 2013,458719.0,455671.0,-466300.0,2665842.0,1703433.0
December 2013,432369.0,403683.0,-368708.0,2460470.0,1211704.0
March 2014,186260.0,175647.0,-187224.0,2296780.0,1052324.0
June 2014,547539.0,536926.0,-538352.0,2138241.0,904398.0
September 2014,347190.0,336577.0,-326700.0,1918411.0,790788.0
December 2014,851428.0,416341.0,-664073.0,1376790.0,588647.0
March 2015,293952.0,284414.0,-250022.0,1280500.0,496197.0
June 2015,125788.0,116094.0,-132322.0,1161335.0,383084.0
September 2015,216841.0,207147.0,-214830.0,1084097.0,315539.0
December 2015,863258.0,135115.0,-884145.0,153947.0,153947.0
March 2016,101580.0,101580.0,-104320.0,80078.0,80078.0
June 2016,,,,,
September 2016,,,,51249.0,51249.0
