,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,27008.5,-315795.25,,
June 2009,27008.5,-315795.25,,
September 2009,27008.5,-315795.25,,
December 2009,27008.5,-315795.25,,
March 2010,27008.5,-311463.25,,
June 2010,27008.5,-311463.25,,
September 2010,27008.5,-311463.25,,
December 2010,27008.5,-311463.25,,
March 2011,51044.0,-176336.5,,
June 2011,51044.0,-176336.5,,
September 2011,86298.0,-206544.0,,
December 2011,-1650.0,-160960.0,22494.0,22494.0
March 2012,147181.0,-270255.0,,
June 2012,107839.0,-211592.0,,
September 2012,48681.0,-100218.0,8000.0,8000.0
December 2012,25686.0,-21839.0,3795.0,3795.0
March 2013,25343.0,-57837.0,4352.0,4352.0
June 2013,11435.0,-33978.0,2915.0,2915.0
September 2013,27111.0,-49653.0,302.0,302.0
December 2013,54600.0,-73424.0,0.0,
March 2014,18877.0,-178976.0,0.0,
June 2014,29952.0,-72958.0,0.0,
September 2014,26914.0,1725.0,6000.0,6000.0
December 2014,17720.0,-274217.0,2545.0,2545.0
March 2015,25959.0,59135.0,11422.0,11422.0
