,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2007,3682.4,-9625.0,,,
December 2007,3682.4,-9625.0,,,
March 2008,3682.4,-4160.0,,,
June 2008,3682.4,-4160.0,,,
September 2008,3682.4,-4160.0,,,
December 2008,3682.4,-4160.0,,,
March 2009,3682.4,-658.25,,,
June 2009,3682.4,-658.25,,,
September 2009,3682.4,-658.25,,,
December 2009,3682.4,-658.25,,,
March 2010,13297.0,-13013.5,,,
June 2010,13297.0,-13013.5,,,
September 2010,13297.0,-13013.5,,,
December 2010,13297.0,-13013.5,11322.0,11322.0,
March 2011,8949.0,-8719.0,,,
June 2011,11180.0,-117290.0,,,
September 2011,8286.0,-8226.0,,,
December 2011,6591.0,99729.0,814.0,814.0,
March 2012,2574.0,-2454.0,892.0,892.0,
June 2012,12033.0,-12020.0,,,
September 2012,119770.0,-119778.0,,0.0,
December 2012,393697.0,16622.0,20888692.0,3268325.0,17620367.0
March 2013,118569.0,560619.0,21915377.0,5218325.0,
June 2013,91374.0,-120932.0,21977230.0,5270419.0,
September 2013,633855.0,-595143.0,44810059.0,5388148.0,
December 2013,1294015.0,-1211173.0,48951444.0,5464780.0,43486664.0
March 2014,1197623.0,-1355561.0,56452031.0,6836295.0,49615736.0
June 2014,5882080.0,-14655394.0,33093524.0,300195.0,32793329.0
September 2014,911734.0,-920388.0,32990958.0,125020.0,32865938.0
