,NetIncomeLoss,Assets,AssetsCurrent
March 2009,-12500000.0,,
June 2009,-12500000.0,,
September 2009,-12500000.0,,
December 2009,-12500000.0,,
March 2010,-12800000.0,,
June 2010,-34700000.0,,
September 2010,-13300000.0,,
December 2010,-81800000.0,1515200000.0,483500000.0
March 2011,-39600000.0,,
June 2011,-39800000.0,1717200000.0,459600000.0
September 2011,-33300000.0,1724100000.0,476100000.0
December 2011,3000000.0,1651000000.0,441100000.0
March 2012,-3300000.0,1664500000.0,490800000.0
June 2012,-62900000.0,1508000000.0,423200000.0
September 2012,-2300000.0,1511000000.0,459200000.0
December 2012,-30800000.0,1473100000.0,415400000.0
March 2013,-4400000.0,1466600000.0,449400000.0
June 2013,-13600000.0,1429900000.0,434200000.0
September 2013,-3500000.0,1441200000.0,450600000.0
December 2013,-68100000.0,1384500000.0,380900000.0
March 2014,-36200000.0,1379600000.0,392600000.0
June 2014,-48600000.0,1361800000.0,379200000.0
September 2014,-31100000.0,1354900000.0,374300000.0
December 2014,-258500000.0,1037700000.0,365700000.0
March 2015,-25300000.0,1051400000.0,404400000.0
June 2015,-16900000.0,1018500000.0,377600000.0
September 2015,-8200000.0,1012500000.0,389200000.0
December 2015,20400000.0,829000000.0,338300000.0
March 2016,2600000.0,806500000.0,323500000.0
June 2016,7500000.0,775000000.0,304400000.0
September 2016,7500000.0,801200000.0,333900000.0
December 2016,-1100000.0,766300000.0,321500000.0
March 2017,8100000.0,795100000.0,351700000.0
