,OperatingExpenses,NetIncomeLoss,Assets
December 2011,405.0,0.0,500.0
March 2012,405.0,-540.0,
June 2012,405.0,-540.0,
September 2012,405.0,-540.0,480.0
December 2012,29022.0,-13611.0,1598954.0
March 2013,49000.0,493.0,3859802.0
June 2013,156000.0,-100376.0,5364340.0
September 2013,81000.0,72000.0,5991366.0
December 2013,139000.0,423883.0,8121401.0
March 2014,213000.0,-181000.0,9317000.0
June 2014,193000.0,84000.0,10926000.0
September 2014,183000.0,28000.0,11979000.0
December 2014,164000.0,123000.0,11608000.0
March 2015,281000.0,-70000.0,11046000.0
June 2015,172000.0,138000.0,10689000.0
September 2015,,208000.0,10444000.0
December 2015,,127000.0,10036000.0
March 2016,,41000.0,9585000.0
June 2016,,-656000.0,8431000.0
September 2016,,76000.0,8084000.0
December 2016,,-228000.0,7303000.0
March 2017,,44000.0,6850000.0
June 2017,,-37000.0,6293000.0
September 2017,,-16000.0,5794000.0
December 2017,,-130000.0,5175000.0
March 2018,,150000.0,4806000.0
June 2018,,26000.0,4453000.0
September 2018,,0.0,3945000.0
December 2018,,-93000.0,3285000.0
March 2019,,84000.0,2888000.0
June 2019,,50000.0,2412000.0
September 2019,,-78000.0,1864000.0
December 2019,,50000.0,1501000.0
March 2020,,-41000.0,1367000.0
June 2020,,62000.0,1343000.0
