,NetIncomeLoss,Assets
March 2009,1149750.0,
June 2009,1149750.0,
September 2009,1149750.0,
December 2009,1149750.0,
March 2010,1435000.0,
June 2010,1250000.0,
September 2010,1239000.0,
December 2010,1856000.0,1002339000.0
March 2011,741000.0,
June 2011,1353000.0,1049105000.0
September 2011,1100000.0,1221951000.0
December 2011,1279000.0,1396756000.0
March 2012,2886000.0,1413639000.0
June 2012,2478000.0,1394827000.0
September 2012,2649000.0,1428936000.0
December 2012,1629000.0,1851728000.0
March 2013,3428000.0,1867056000.0
June 2013,3663000.0,1863776000.0
September 2013,3540000.0,1862807000.0
December 2013,3545000.0,1851160000.0
March 2014,6858000.0,1888925000.0
June 2014,4116000.0,1896278000.0
September 2014,4472000.0,1891760000.0
December 2014,3664000.0,1936740000.0
March 2015,1491000.0,1995258000.0
June 2015,5099000.0,1948784000.0
September 2015,2589000.0,1974308000.0
December 2015,1838000.0,1927733000.0
March 2016,2349000.0,1916551000.0
June 2016,2493000.0,1922524000.0
September 2016,2398000.0,1953920000.0
December 2016,2199000.0,1943340000.0
March 2017,2491000.0,1934939000.0
June 2017,-5414000.0,1945569000.0
September 2017,1666000.0,1947066000.0
December 2017,-10504000.0,1881152000.0
March 2018,360000.0,1857755000.0
June 2018,-669000.0,1858917000.0
September 2018,-4898000.0,1826254000.0
December 2018,-22309000.0,1743398000.0
March 2019,-5830000.0,1745335000.0
June 2019,-2903000.0,1715106000.0
