,Assets
March 2011,
June 2011,1088088000.0
September 2011,1031448000.0
December 2011,1015863000.0
March 2012,1008032000.0
June 2012,1011959000.0
September 2012,1071233000.0
December 2012,1088341000.0
March 2013,1085340000.0
June 2013,1122354000.0
September 2013,1106884000.0
December 2013,1116622000.0
March 2014,1083184000.0
June 2014,1105072000.0
September 2014,1074691000.0
December 2014,1094616000.0
March 2015,1124156000.0
June 2015,1089970000.0
September 2015,1098797000.0
December 2015,1125603000.0
March 2016,1131741000.0
