,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2010,,-24441.666666666668,,,
December 2010,,-24441.666666666668,,,
March 2011,,-24441.666666666668,,,
June 2011,,,0.0,0.0,
September 2011,,-23016.666666666668,0.0,0.0,
December 2011,,-23016.666666666668,0.0,0.0,
March 2012,,-23016.666666666668,0.0,0.0,
June 2012,,,0.0,0.0,
September 2012,,-24350.0,0.0,0.0,
December 2012,,-22600.0,0.0,0.0,
March 2013,,-22600.0,,,
June 2013,,-24100.0,0.0,0.0,
September 2013,8791.0,214334.0,0.0,0.0,
December 2013,,-8702.0,0.0,0.0,
March 2014,,-8725.0,0.0,0.0,
June 2014,,-9445.0,0.0,0.0,
September 2014,10000.0,-10568.0,0.0,0.0,
December 2014,,-9250.0,0.0,0.0,
March 2015,,-16389.0,0.0,0.0,
June 2015,,-9100.0,0.0,0.0,
September 2015,,-11079.0,0.0,0.0,
December 2015,,-16595.0,0.0,0.0,
March 2016,,-9171.0,0.0,0.0,
June 2016,,-9148.0,0.0,0.0,
September 2016,,-11393.0,0.0,0.0,
December 2016,,-19386.0,0.0,0.0,
March 2017,,-9381.0,0.0,0.0,
June 2017,,-7915.0,0.0,0.0,
September 2017,,0.0,,,
December 2017,,-4700.0,1500.0,1500.0,
March 2018,,-2220.0,,,
June 2018,,-9043.0,3000.0,3000.0,
September 2018,,0.0,3000.0,3000.0,
December 2018,,-11516.0,3000.0,3000.0,
March 2019,,-5850.0,3000.0,3000.0,
June 2019,,-2676.0,3000.0,3000.0,
September 2019,37611.25,-5277.0,,,
December 2019,37611.25,-3225.0,,,
March 2020,37611.25,-3805.0,,,
June 2020,37611.25,-1790.0,,,
September 2020,36220.0,-7650.0,,,
December 2020,14386.0,-1860.0,,,
March 2021,42719.0,-1969.0,,,
June 2021,-16265.0,-128983.0,,,
September 2021,36002.0,144156.0,,,
December 2021,39137.0,-119579.0,,,
March 2022,26454.0,-90953.0,,,
