,OperatingExpenses,NetIncomeLoss,Assets
March 2010,22532.0,-21066.0,
June 2010,13338.0,-11399.0,
September 2010,16574.0,-14391.0,
December 2010,11400.0,39972.0,266043.0
March 2011,23036.0,-17102.0,
June 2011,13943.0,11420.0,243085.0
September 2011,15039.0,-1986.0,194125.0
December 2011,13697.0,-25512.0,194070.0
March 2012,23430.0,-24202.0,178732.0
June 2012,13166.0,-10047.0,171033.0
September 2012,14314.0,-13582.0,156886.0
December 2012,11481.0,-10750.0,145444.0
March 2013,21303.0,-18084.0,143381.0
June 2013,11582.0,-11579.0,119952.0
September 2013,12537.0,-12535.0,112801.0
December 2013,11460.0,-11457.0,95843.0
March 2014,22142.0,-22140.0,75202.0
June 2014,11881.0,-11880.0,62248.0
September 2014,11492.0,-11491.0,50865.0
December 2014,11959.0,-11959.0,40057.0
March 2015,20043.0,-20043.0,19615.0
June 2015,10687.0,-10687.0,9354.0
September 2015,11078.0,-11078.0,4455.0
December 2015,25463.0,-25463.0,184335.0
March 2016,40031.0,-40031.0,150332.0
June 2016,74858.0,-74858.0,100348.0
September 2016,252263.0,-252263.0,61567.0
December 2016,144605.0,-129829.0,36820.0
March 2017,152697.0,-88448.0,87832.0
June 2017,1583000.0,58174.0,100209.0
September 2017,45861.0,75000.0,198536.0
December 2017,-1488819.0,-62152.0,88916000.0
March 2018,672000.0,17618.0,184745.0
June 2018,1689000.0,101000.0,88191000.0
September 2018,1831000.0,-91000.0,87844000.0
December 2018,2982000.0,1288382.0,79150000.0
March 2019,529000.0,46000.0,78726000.0
June 2019,524000.0,31000.0,78401000.0
September 2019,537000.0,214000.0,79342000.0
December 2019,-16124000.0,2776000.0,57881000.0
March 2020,261000.0,-59000.0,57824000.0
June 2020,211000.0,-214000.0,58552000.0
September 2020,239000.0,-34000.0,59104000.0
December 2020,217000.0,-64000.0,57656000.0
March 2021,203000.0,-85000.0,56574000.0
June 2021,180000.0,-60000.0,57114000.0
September 2021,201000.0,-56000.0,57574000.0
December 2021,204000.0,-58000.0,57583000.0
March 2022,197000.0,-17000.0,57506000.0
