,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
March 2010,,-939246.0,
June 2010,,-939246.0,
September 2010,,-3165994.0,
December 2010,,-1301060.0,121810968.0
March 2011,,-1481302.0,
June 2011,,32692.0,116698691.0
September 2011,,39525.0,113098890.0
December 2011,,-669911.0,112305153.0
March 2012,,189023.0,
June 2012,,-64048.0,112334488.0
September 2012,,-172913.0,109194183.0
December 2012,,-565098.0,124884386.0
March 2013,275481.0,-625550.0,126806460.0
June 2013,988112.0,-2017562.0,115619684.0
September 2013,543593.0,-1018100.0,108709294.0
December 2013,1172881.0,-2366537.0,104269135.0
March 2014,1029921.0,-1345986.0,99536626.0
June 2014,1474508.0,-2166919.0,101161478.0
September 2014,791583.0,-997966.0,102293241.0
December 2014,1642022.0,-1989385.0,100711982.0
March 2015,195932.0,-363641.0,97973647.0
June 2015,733238.0,-1357267.0,104431602.0
September 2015,1162722.0,-2008326.0,99588809.0
December 2015,108108.0,-1069285.0,97467306.0
March 2016,100482.0,-300430.0,93120096.0
June 2016,76708.0,-785164.0,92508822.0
September 2016,27364.0,-361027.0,93989770.0
December 2016,45446.0,-1141397.0,90449057.0
March 2017,,-647816.0,90595385.0
June 2017,,-207621.0,89784407.0
September 2017,,-357106.0,86172775.0
