,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,,0.0,,,
June 2010,,,0.0,,,
September 2010,,,-46.0,,,
December 2010,,,-52.0,377.0,377.0,
March 2011,,,13240.0,,,
June 2011,,,-13923.0,,,
September 2011,,,-8521.0,28600.0,28600.0,
December 2011,736818.0,356926.0,3115937.0,23706.0,23706.0,
March 2012,848024.0,170383.0,3467428.0,1203.0,1203.0,
June 2012,366656.0,117871.0,-12476.0,191.0,191.0,
September 2012,79171.0,269034.0,-24009.0,32934136.0,5784930.0,11473189.0
December 2012,608406.0,212003.0,3503280.0,38277585.0,11757176.0,11105358.0
March 2013,502950.0,113065.0,4197754.0,42515604.0,9927773.0,17336908.0
June 2013,223586.0,128392.0,912112.0,42387912.0,8501370.0,18677017.0
September 2013,443546.0,438433.0,-440688.0,42161547.0,8895229.0,18158287.0
December 2013,520313.0,461179.0,3282543.0,49186771.0,13263708.0,21064247.0
March 2014,198785.0,166147.0,7589529.0,54871689.0,16369949.0,24041978.0
June 2014,478160.0,468135.0,-611433.0,54555664.0,17086922.0,23223231.0
September 2014,260579.0,,-363124.0,51785169.0,14278225.0,
December 2014,356591.0,,4396392.0,58556997.0,16185707.0,
March 2015,455248.0,,5973615.0,65073532.0,20928093.0,
June 2015,212795.0,,980918.0,65995541.0,23194093.0,
September 2015,262423.0,,-350302.0,54951354.0,15235106.0,
December 2015,325199.0,,6032812.0,62209739.0,24615608.0,
March 2016,153589.0,,5749259.0,68067390.0,31575572.0,
June 2016,389705.0,,2746044.0,68588491.0,34484809.0,
September 2016,157358.0,,-316075.0,66731931.0,14388711.0,
