,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2012,1747250.0,,-2613750.0,,
June 2012,1747250.0,,-2613750.0,,
September 2012,1747250.0,,-2613750.0,,
December 2012,1747250.0,,-2613750.0,,
March 2013,4409000.0,,-5396000.0,,
June 2013,6335000.0,,-7487000.0,,
September 2013,7138000.0,,-9565000.0,,
December 2013,6880000.0,,-11838000.0,14046000.0,9247000.0
March 2014,6854000.0,2422000.0,-10748000.0,,
June 2014,9976000.0,2881000.0,-16428000.0,140737000.0,130762000.0
September 2014,12541000.0,4081000.0,-16863000.0,133990000.0,122330000.0
December 2014,14574000.0,,-20315000.0,116162000.0,103255000.0
March 2015,15317000.0,6404000.0,-21946000.0,273451000.0,260328000.0
June 2015,17291000.0,15162000.0,-32603000.0,251027000.0,235215000.0
September 2015,18403000.0,16843000.0,-35349000.0,230540000.0,210742000.0
