,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2010,462827.5,,,
June 2010,462827.5,,,
September 2010,866231.0,,,
December 2010,615542.0,,,130039182.0
March 2011,923981.0,,2537783.75,
June 2011,1281198.0,,2537783.75,
September 2011,1523132.0,,2537783.75,209119994.0
December 2011,2831688.0,,2537783.75,224117809.0
March 2012,1716548.0,,-6556713.0,223784467.0
June 2012,2100522.0,,509114.0,239032791.0
September 2012,2537288.0,,-1426506.0,266217873.0
December 2012,5933281.0,,-21972256.0,280809080.0
March 2013,3027491.0,,-3463111.0,295688394.0
June 2013,2671604.0,,1103447.0,313932665.0
September 2013,3121722.0,,-2352389.0,322537498.0
December 2013,6937384.0,,4707313.0,330478864.0
March 2014,3716442.0,386857.0,-2240454.0,323579909.0
June 2014,2739773.0,386857.0,705128.0,337215774.0
September 2014,2863907.0,386857.0,-1410773.0,355252372.0
December 2014,-7141757.0,386857.0,-1310997.0,362921682.0
March 2015,480600.0,385999.0,-967403.0,363508873.0
June 2015,506310.0,392138.0,-969645.0,359902789.0
September 2015,491796.0,378417.0,-919146.0,353717174.0
December 2015,3080517.0,371572.0,8161430.0,406986613.0
March 2016,1955484.0,365178.0,-3807194.0,408714969.0
June 2016,1840716.0,357454.0,-3705112.0,396030739.0
September 2016,763361.0,362505.0,-2634076.0,394834633.0
December 2016,888962.0,348600.0,-2579698.0,379711509.0
March 2017,747206.0,344286.0,-2589742.0,383138526.0
June 2017,911219.0,356160.0,-2784131.0,389398732.0
September 2017,2256759.0,347581.0,-4135595.0,397418107.0
December 2017,1161163.0,360206.0,-2739909.0,406697070.0
March 2018,1149088.0,377928.0,-3049987.0,422448212.0
June 2018,2145925.0,377928.0,-4079535.0,400393661.0
September 2018,2799619.0,347562.0,-7378895.0,386276461.0
December 2018,-2339381.0,334427.0,791932.0,386047090.0
March 2019,468524.0,351355.0,-2496011.0,395862225.0
June 2019,1277733.0,351355.0,-3132438.0,392857199.0
September 2019,731949.0,339459.0,-2600001.0,377674721.0
